coin,price
Bitcoin,"$104,776.75"
Ethereum,"$3,382.46"
XRP,$3.15
Tether,$0.9999
Solana,$261.63
BNB,$685.36
Dogecoin,$0.3568
USDC,$0.9999
Cardano,$0.997
TRON,$0.2576
Chainlink,$26.02
Avalanche,$35.77
Stellar,$0.43
Sui,$4.37
Toncoin,$5.11
Hedera,$0.33
Shiba Inu,$0.00
Polkadot,$6.41
UNUS SED LEO,$9.71
Litecoin,$116.63
Bitcoin Cash,$435.55
Bitget Token,$7.14
Hyperliquid,$23.26
Uniswap,$12.93
OFFICIAL TRUMP,$34.22
Pepe,$0.00
NEAR Protocol,$5.03
Ethena USDe,$1.00
Dai,$1.00
Aave,$349.46
Aptos,$8.35
Internet Computer,$9.24
Ondo,$1.40
Ethereum Classic,$28.71
Mantle,$1.23
Monero,$215.64
VeChain,$0.05
Cronos,$0.14
POL (ex-MATIC),$0.44
Render,$7.08
MANTRA,$3.61
Algorand,$0.41
Kaspa,$0.13
OKB,$54.37
Filecoin,$5.09
Arbitrum,$0.73
Bittensor,$380.34
Artificial Superintelligence Alliance,$1.23
Ethena,$0.90
Cosmos,$6.14
Bonk,$0.00
Optimism,$1.76
Celestia,$4.74
Raydium,$7.82
Worldcoin,$2.27
Stacks,$1.41
GateToken,$23.65
Immutable,$1.21
Injective,$21.00
Theta Network,$2.04
First Digital USD,$1.00
The Graph,$0.19
Lido DAO,$2.00
XDC Network,$0.12
Virtuals Protocol,$2.62
Sonic (prev. FTM),$0.57
DeXe,$19.37
Pudgy Penguins,$0.03
Sei,$0.35
Flare,$0.03
KuCoin Token,$12.55
Movement,$0.67
Jupiter,$0.87
dogwifhat,$1.44
Fartcoin,$1.41
The Sandbox,$0.56
FLOKI,$0.00
JasmyCoin,$0.03
Quant,$106.88
Ethereum Name Service,$36.23
SPX6900,$1.36
Kaia,$0.21
EOS,$0.81
Gala,$0.03
Tezos,$1.17
IOTA,$0.32
Pyth Network,$0.32
Maker,$1283.10
Flow,$0.69
BitTorrent [New],$0.00
Bitcoin SV,$51.65
Curve DAO Token,$0.80
Neo,$14.24
Arweave,$15.05
ai16z,$0.87
Nexo,$1.47
Beam,$0.02
AIOZ Network,$0.81
Axie Infinity,$5.94
Decentraland,$0.48
Starknet,$0.3811
Onyxcoin,$0.02926
Brett (Based),$0.08878
MultiversX,$30.94
dYdX (Native),$1.19
Jito,$2.96
Polygon,$0.4392
Zcash,$48.57
Aerodrome Finance,$1.04
Core,$0.8338
Helium,$4.36
ApeCoin,$1.02
Morpho,$3.48
USDD,$1.00
THORChain,$2.08
Conflux,$0.15
Akash Network,$2.83
Chiliz,$0.07
Amp,$0.01
Reserve Rights,$0.01
Compound,$77.95
Gigachad (gigachadsolana.com),$0.07
Tether Gold,$2758.06
FTX Token,$2.04
EigenLayer,$2.85
eCash,$0.00
Wormhole,$0.23
Ronin,$1.68
PancakeSwap,$2.17
Mog Coin,$0.00
Mina,$0.50
aixbt by Virtuals,$0.70
Gnosis,$232.09
Pendle,$3.64
Axelar,$0.64
ZKsync,$0.16
PAX Gold,$2762.35
Popcat (SOL),$0.57
Synthetix,$1.62
SuperVerse,$1.05
Notcoin,$0.01
APENFT,$0.00
PayPal USD,$1.00
Kava,$0.46
VeThor Token,$0.01
TrueUSD,$1.00
Grass,$1.95
Official Melania Meme,$2.75
Oasis,$0.07
Livepeer,$12.34
Terra Classic,$0.00
LayerZero,$4.06
cat in a dogs world,$0.01
Kusama,$27.69
1inch Network,$0.32
Safe,$0.82
Trust Wallet Token,$1.04
Nervos Network,$0.01
Blur,$0.20
Dash,$35.36
io.net,$3.16
ORDI,$20.26
Creditcoin,$1.01
Echelon Prime,$11.76
Turbo,$0.01
Theta Fuel,$0.06
Astar,$0.05
Holo,$0.00
ether.fi,$1.80
Zilliqa,$0.02
Animecoin,$0.07
JUST,$0.04
0x Protocol,$0.44
MX Token,$3.88
Baby Doge Coin,$0.00
Aethir,$0.06
OriginTrail,$0.72
SushiSwap,$1.35
Convex Finance,$3.63
Peanut the Squirrel,$0.35
Horizen,$22.14
Bio Protocol,$0.27
SPACE ID,$0.39
Basic Attention Token,$0.23
Golem,$0.34
WOO,$0.18
SafePal,$0.68
WEMIX,$0.78
Celo,$0.57
IoTeX,$0.03
Harmony,$0.02
Ankr,$0.03
Qtum,$2.95
Vana,$10.25
Gas,$4.71
Siacoin,$0.01
Memecoin,$0.01
Enjin Coin,$0.17
ZetaChain,$0.47
Osmosis,$0.42
Fasttoken,$3.87
Solana Swap,$1.25
Usual USD,$0.9988
Zeebu,$4.26
Fellaz,$1.98
ShibaBitcoin,$9.90
Meta Games Coin,$0.7115
DeepBook Protocol,$0.2799
Frax,$0.9964
Telcoin,$0.006765
Beldex,$0.08
Ultima,$14125.77
Chintai,$0.53
insurance,$27.41
GRIFFAIN,$0.49
Snek,$0.01
Cheelee,$8.15
AI Rig Complex,$0.44
Freysa,$0.05
Dog (Bitcoin),$0.00
Akuma Inu,$0.00
Ondo US Dollar Yield,$1.07
MimbleWimbleCoin,$32.28
SwissBorg,$0.34
Tribe,$0.56
Moca Network,$0.18
UXLINK,$0.86
EthereumPoW,$2.70
Arkham,$1.27
Destra Network,$0.29
SATS (Ordinals),$0.00
aelf,$0.38
Drift,$1.01
Ravencoin,$0.02
Goatseus Maximus,$0.28
BOOK OF MEME,$0.00
GMT,$0.10
Chia,$19.41
Vine Coin,$0.27
Elixir deUSD,$1.00
Qubic,$0.00
Magic Eden,$2.05
Metars Genesis,$3.14
Aevo,$0.29
Newton,$0.01
yearn.finance,$7648.68
Threshold,$0.03
PAAL AI,$0.30
Manta Network,$0.68
dYdX (ethDYDX),$1.19
